Response,TimeError,subid,block,trial,speed,direction
1,-38,1,1,4,20,in
1,-20,1,1,5,20,in
1,-26,1,1,6,20,in
1,-22,1,1,7,20,in
1,10,1,1,8,20,in
1,-2,1,1,9,20,in
1,30,1,1,10,20,in
1,-12,1,1,11,20,in
1,12,1,1,12,20,in
1,14,1,1,13,20,in
1,-16,1,1,14,20,in
1,-26,1,1,15,20,in
1,20,1,1,16,20,in
1,-20,1,1,17,20,in
1,16,1,1,18,20,in
1,-34,1,1,19,20,in
1,-8,1,1,20,20,in
1,14,1,1,21,20,in
1,-4,1,1,22,20,in
1,8,1,1,23,20,in
1,2,1,1,24,20,in
1,4,1,1,25,20,in
1,-8,1,1,26,20,in
1,-6,1,1,27,20,in
1,-4,1,1,28,20,in
1,-34,1,1,30,20,in
1,-4,1,1,31,20,in
1,4,1,1,33,20,in
1,-2,1,1,34,20,in
1,26,1,1,35,20,in
1,22,1,1,36,20,in
1,10,1,1,37,20,in
1,-10,1,1,38,20,in
1,0,1,1,39,20,in
1,10,1,1,40,20,in
1,-16,1,1,41,20,in
1,-8,1,1,42,20,in
1,-4,1,1,43,20,in
1,32,1,1,44,20,in
1,-8,1,1,45,20,in
1,10,1,1,46,20,in
1,-8,1,1,47,20,in
1,-14,1,1,48,20,in
1,-2,1,1,49,20,in
1,12,1,1,50,20,in
1,14,1,1,51,20,in
1,-20,1,1,52,20,in
1,2,1,1,53,20,in
1,-6,1,1,54,20,in
1,8,1,1,55,20,in
1,8,1,1,56,20,in
1,-10,1,1,57,20,in
1,16,1,1,58,20,in
1,8,1,1,59,20,in
1,0,1,1,60,20,in
1,8,1,1,61,20,in
1,12,1,1,62,20,in
1,8,1,1,63,20,in
1,2,1,1,65,20,in
1,-30,1,1,66,20,in
1,10,1,1,67,20,in
1,-6,1,1,68,20,in
1,-12,1,1,69,20,in
1,4,1,1,70,20,in
1,4,1,1,71,20,in
1,-6,1,1,72,20,in
1,-8,1,1,73,20,in
1,14,1,1,74,20,in
1,-6,1,1,75,20,in
1,14,1,1,76,20,in
1,-4,1,1,77,20,in
1,-12,1,1,78,20,in
1,-10,1,1,79,20,in
1,6,1,1,80,20,in
1,-36,1,1,81,20,in
1,4,1,1,82,20,in
1,16,1,1,84,20,in
1,-12,1,1,85,20,in
1,-16,1,1,86,20,in
1,12,1,1,87,20,in
1,-18,1,1,88,20,in
1,-2,1,1,89,20,in
1,6,1,1,90,20,in
1,2,1,1,91,20,in
1,0,1,1,92,20,in
1,-10,1,1,93,20,in
1,-10,1,1,94,20,in
1,2,1,1,95,20,in
1,26,1,1,96,20,in
1,-16,1,1,97,20,in
1,-20,1,1,98,20,in
1,-6,1,1,99,20,in
1,-10,1,1,100,20,in
1,0,1,1,101,20,in
1,-16,1,1,102,20,in
1,-26,1,1,103,20,in
1,4,1,1,104,20,in
1,-24,1,1,105,20,in
1,6,1,1,106,20,in
1,24,1,1,107,20,in
1,18,1,1,108,20,in
1,-30,1,1,109,20,in
1,2,1,1,110,20,in
1,12,1,1,111,20,in
1,-18,1,1,112,20,in
1,-6,1,1,113,20,in
1,12,1,1,114,20,in
1,-4,1,1,115,20,in
1,-24,1,1,116,20,in
1,24,1,1,117,20,in
1,-6,1,1,118,20,in
1,-44,1,1,119,20,in
1,-4,1,1,120,20,in
1,6,1,1,121,20,in
1,12,1,1,122,20,in
1,-34,1,1,123,20,in
1,0,1,1,124,20,in
1,-4,1,1,125,20,in
1,0,1,1,126,20,in
1,-20,1,1,127,20,in
1,4,1,1,128,20,in
1,12,1,1,129,20,in
1,-40,1,1,130,20,in
1,-28,1,1,131,20,in
1,-26,1,1,132,20,in
1,-16,1,1,133,20,in
1,36,1,1,134,20,in
1,-4,1,1,135,20,in
1,-24,1,1,136,20,in
1,-14,1,1,137,20,in
1,-16,1,1,138,20,in
1,4,1,1,139,20,in
1,-24,1,1,140,20,in
1,22,1,1,141,20,in
1,-24,1,1,142,20,in
1,-26,1,1,143,20,in
1,0,1,1,144,20,in
1,2,1,1,145,20,in
1,-28,1,1,146,20,in
1,-28,1,1,147,20,in
1,-26,1,1,148,20,in
1,-10,1,1,149,20,in
1,-24,1,1,150,20,in
1,-15,1,2,1,30,in
1,5,1,2,2,30,in
1,-21,1,2,3,30,in
1,11,1,2,4,30,in
1,-13,1,2,5,30,in
1,1,1,2,6,30,in
1,15,1,2,7,30,in
1,-5,1,2,8,30,in
1,33,1,2,9,30,in
1,-23,1,2,10,30,in
1,-13,1,2,11,30,in
1,-3,1,2,12,30,in
1,21,1,2,13,30,in
1,-9,1,2,14,30,in
